election,election_date,precinct_description,precinct_code,political_party,voter_count
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 14,2114,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 14,2114,NO AFFILIATION,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 14,2114,REPUBLICAN,18
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 15,2115,DEMOCRATIC,103
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 15,2115,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 15,2115,REPUBLICAN,17
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 16,2116,DEMOCRATIC,50
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 16,2116,NO AFFILIATION,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 16,2116,OTHER,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 16,2116,REPUBLICAN,25
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 17,2117,DEMOCRATIC,103
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 17,2117,GREEN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 17,2117,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 17,2117,NO AFFILIATION,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 17,2117,NO PARTY,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 17,2117,REPUBLICAN,17
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 18,2118,DEMOCRATIC,84
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 18,2118,REPUBLICAN,14
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 19,2119,DEMOCRATIC,77
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 19,2119,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 19,2119,NONE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 19,2119,REPUBLICAN,12
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 20,2120,DEMOCRATIC,76
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 20,2120,GREEN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 20,2120,REPUBLICAN,11
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 21,2121,DEMOCRATIC,54
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 21,2121,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 21,2121,NO AFFILIATION,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 21,2121,OTHER,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 21,2121,REPUBLICAN,17
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 22,2122,DEMOCRATIC,131
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 22,2122,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 22,2122,NO AFFILIATION,4
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 22,2122,NONE,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 22,2122,REPUBLICAN,26
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 23,2123,DEMOCRATIC,156
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 23,2123,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 23,2123,NO AFFILIATION,3
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 23,2123,NONE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 23,2123,REPUBLICAN,8
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 24,2124,DEMOCRATIC,317
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 24,2124,NO AFFILIATION,2
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 24,2124,REPUBLICAN,6
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 25,2125,UNKNOWN,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 25,2125,DEMOCRATIC,96
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 25,2125,NO PARTY,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 25,2125,OTHER,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 25,2125,REPUBLICAN,32
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 26,2126,DEMOCRATIC,89
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 26,2126,INDEPENDENT,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 26,2126,NO AFFILIATION,5
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 26,2126,NONE,1
2018 GENERAL PRIMARY,5/15/2018,PHILA WD 21 DIV 26,2126,REPUBLICAN,11
